call_id,driver_id,driver_client,call_appointtime,driver_pickupaddress,driver_deliveryaddress,driver_enddate
27504791,a39193A,★맥도날드 연세대점★,2025-09-02 06:01:18,서울특별시-서대문구-창천동,서울특별시-서대문구-신촌동,2025-09-02 06:18:45
27504808,a14103E,두정)빨강호랭이[5분 캐쉬자동]문자필수★미전송 적발시 밴,2025-09-02 06:15:21,충청남도-천안시 서북구-두정동,충청남도-천안시 서북구-성정동,2025-09-02 06:23:21
27504819,a14103E,두정)배터진뚱돼지[5분]흑돼지필살구이간판,2025-09-02 06:32:23,충청남도-천안시 서북구-두정동,충청남도-천안시 서북구-성정동,2025-09-02 06:41:12
27504846,a13278D,맥도날드 평리DT점,2025-09-02 07:06:28,대구광역시-서구-평리동,대구광역시-서구-중리동,2025-09-02 07:16:35
27504848,a13278D,맥도날드 두류DT점,2025-09-02 07:10:53,대구광역시-달서구-두류동,대구광역시-달서구-성당동,2025-09-02 07:32:19
27504878,a00303H,[단계] 맥도날드 원주단계DT점,2025-09-02 07:33:50,강원특별자치도-원주시-단계동,강원특별자치도-원주시-무실동,2025-09-02 07:44:33
27504908,a13278D,365감자탕 광장점(즉시콜),2025-09-02 08:01:15,대구광역시-서구-내당동,대구광역시-달서구-죽전동,2025-09-02 08:11:55
27504910,a11870C,★보성순두부(동부리)성,2025-09-02 08:01:40,부산광역시-기장군-기장읍,부산광역시-기장군-기장읍,2025-09-02 08:08:52
27504914,a00303H,[단계] 맥도날드 원주단계DT점,2025-09-02 08:06:06,강원특별자치도-원주시-단계동,강원특별자치도-원주시-단계동,2025-09-02 08:11:19
27504915,a00303H,[단계] 맥도날드 원주단계DT점,2025-09-02 08:06:07,강원특별자치도-원주시-단계동,강원특별자치도-원주시-무실동,2025-09-02 08:20:07
27504916,a52278A,★맥도날드 연세대점★,2025-09-02 08:06:49,서울특별시-서대문구-창천동,서울특별시-서대문구-대신동,2025-09-02 08:35:01
27504921,a20085E,(오류)스타벅스 서대전네거리,2025-09-02 08:09:01,대전광역시-중구-오류동,대전광역시-중구-오류동,2025-09-02 08:16:32
27504924,a13278D,■스타벅스 대구광장점,2025-09-02 08:10:52,대구광역시-달서구-두류동,대구광역시-달서구-감삼동,2025-09-02 08:56:25
27504925,a52278A,★맥도날드 연세대점★,2025-09-02 08:11:11,서울특별시-서대문구-창천동,서울특별시-서대문구-창천동,2025-09-02 08:26:19
27504932,a20085E,(대흥)맥도날드 대전센트럴SK DT점( 픽업3건.방향 맞으면  강제배차o),2025-09-02 08:12:47,대전광역시-중구-대흥동,대전광역시-중구-용두동,2025-09-02 08:37:50
27504940,a13278D,스타벅스 대구두류역,2025-09-02 08:14:45,대구광역시-서구-내당동,대구광역시-서구-내당동,2025-09-02 08:42:32
27504942,a13278D,맥도날드 두류DT점,2025-09-02 08:14:55,대구광역시-달서구-두류동,대구광역시-달서구-두류동,2025-09-02 08:27:48
27504944,a20085E,(대흥)맥도날드 대전센트럴SK DT점( 픽업3건.방향 맞으면  강제배차o),2025-09-02 08:16:07,대전광역시-중구-대흥동,대전광역시-중구-대흥동,2025-09-02 08:28:20
27504946,a13278D,맥도날드 두류DT점,2025-09-02 08:17:46,대구광역시-달서구-두류동,대구광역시-달서구-두류동,2025-09-02 08:32:21
27504947,a06110D,맥도날드 두류DT점,2025-09-02 08:17:59,대구광역시-달서구-두류동,대구광역시-남구-대명동,2025-09-02 08:34:27
27504956,a20108E,[용두]빽다방/10분,2025-09-02 08:22:14,대전광역시-중구-용두동,대전광역시-중구-문화동,2025-09-02 08:33:01
27504964,a06110D,맥도날드 평리DT점,2025-09-02 08:25:52,대구광역시-서구-평리동,대구광역시-서구-비산동,2025-09-02 08:57:54
27504967,a00303H,[한신] 매드피자(잡10분/파손주의!),2025-09-02 08:26:39,강원특별자치도-원주시-개운동,강원특별자치도-원주시-단계동,2025-09-02 08:49:52
27504968,a03145G,옥동 맥도날드(코스배차),2025-09-02 08:27:07,울산광역시-남구-신정동,울산광역시-남구-신정동,2025-09-02 08:44:30
27504971,a13278D,맥도날드 평리DT점,2025-09-02 08:27:28,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 08:47:29
27504973,a13278D,맥도날드 평리DT점,2025-09-02 08:27:33,대구광역시-서구-평리동,대구광역시-서구-내당동,2025-09-02 08:36:38
27504979,a52278A,버거킹 연세로점,2025-09-02 08:29:46,서울특별시-서대문구-창천동,서울특별시-서대문구-창천동,2025-09-02 08:53:07
27504983,a52278A,★맥도날드 연세대점★,2025-09-02 08:32:21,서울특별시-서대문구-창천동,서울특별시-마포구-연남동,2025-09-02 09:02:17
27504986,a13668C,당리/김치찜은 못참지,2025-09-02 08:34:08,부산광역시-사하구-당리동,부산광역시-사하구-하단동,2025-09-02 08:45:24
27504989,a13563F,(배차후7분픽업)더리터,2025-09-02 08:34:30,전북특별자치도-완주군-봉동읍,전북특별자치도-완주군-봉동읍,2025-09-02 08:45:36
27504994,a03145G,옥동 맥도날드(코스배차),2025-09-02 08:36:12,울산광역시-남구-신정동,울산광역시-남구-옥동,2025-09-02 08:51:03
27504997,a06110D,맥도날드 평리DT점,2025-09-02 08:36:40,대구광역시-서구-평리동,대구광역시-서구-내당동,2025-09-02 08:50:20
27504999,a13278D,맥도날드 평리DT점,2025-09-02 08:36:47,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 08:47:20
27505000,a13278D,맥도날드 평리DT점,2025-09-02 08:36:52,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 08:47:14
27505003,a20085E,(오류)스타벅스 서대전네거리,2025-09-02 08:37:12,대전광역시-중구-오류동,대전광역시-중구-선화동,2025-09-02 08:37:44
27505008,a13278D,365감자탕 광장점(즉시콜),2025-09-02 08:38:32,대구광역시-서구-내당동,대구광역시-달서구-감삼동,2025-09-02 09:01:13
27505009,a13278D,■스타벅스 대구광장점,2025-09-02 08:38:36,대구광역시-달서구-두류동,대구광역시-달서구-감삼동,2025-09-02 09:08:48
27505017,a11539C,★국수의명가(교리),2025-09-02 08:40:21,부산광역시-기장군-기장읍,부산광역시-기장군-기장읍,2025-09-02 08:45:54
27505022,a00303H,[단계] 맥도날드 원주단계DT점,2025-09-02 08:42:20,강원특별자치도-원주시-단계동,강원특별자치도-원주시-일산동,2025-09-02 09:03:45
27505033,a03145G,옥동 맥도날드(코스배차),2025-09-02 08:46:25,울산광역시-남구-신정동,울산광역시-남구-옥동,2025-09-02 09:05:05
27505034,a03145G,옥동 맥도날드(코스배차),2025-09-02 08:46:51,울산광역시-남구-신정동,울산광역시-남구-옥동,2025-09-02 09:08:16
27505035,a13278D,■스타벅스 대구광장점,2025-09-02 08:47:05,대구광역시-달서구-두류동,대구광역시-달서구-죽전동,2025-09-02 09:13:31
27505037,a06110D,맥도날드 평리DT점,2025-09-02 08:47:15,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 09:09:39
27505039,a06110D,맥도날드 평리DT점,2025-09-02 08:47:22,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 09:15:29
27505041,a06110D,맥도날드 평리DT점,2025-09-02 08:47:31,대구광역시-서구-평리동,대구광역시-서구-평리동,2025-09-02 09:07:27
27505042,a13278D,■스타벅스 대구광장점,2025-09-02 08:47:33,대구광역시-달서구-두류동,대구광역시-달서구-감삼동,2025-09-02 09:08:53
27505046,a14794D,맥도날드 대구칠곡2호점,2025-09-02 08:49:23,대구광역시-북구-읍내동,대구광역시-북구-국우동,2025-09-02 09:02:17
27505052,a11539C,★컴포즈커피(대라리),2025-09-02 08:51:35,부산광역시-기장군-기장읍,부산광역시-기장군-기장읍,2025-09-02 08:57:52
27505057,a13668C,당리/카페051,2025-09-02 08:53:05,부산광역시-사하구-당리동,부산광역시-사하구-당리동,2025-09-02 08:59:17
27505068,a13278D,스타벅스 대구두류역,2025-09-02 08:56:50,대구광역시-서구-내당동,대구광역시-달서구-감삼동,2025-09-02 09:24:47
